supplier_id,supplier_name,country,lead_time_days
SUP00545,Vasquez-Lopez,Dominican Republic,58
SUP00546,Lucas Ltd,Svalbard & Jan Mayen Islands,5
SUP00547,Moss and Sons,Ukraine,34
SUP00548,Peterson LLC,Georgia,6
SUP00549,Fernandez-Robinson,Lithuania,35
SUP00550,Williams-Cooper,Monaco,22
SUP00551,Moses-Glover,Romania,17
SUP00552,Gonzalez-Leon,Cote d'Ivoire,33
SUP00553,"Mcgee, Paul and Brooks",Puerto Rico,25
SUP00554,Fuller-Ibarra,Dominican Republic,30
SUP00555,Nichols Group,United States Minor Outlying Islands,46
SUP00556,"Ferguson, Moore and Fritz",Liberia,53
SUP00557,"Thompson, Silva and Hull",Turks and Caicos Islands,45
SUP00558,Flores Ltd,Uganda,6
SUP00559,Jenkins-Mckay,Bolivia,43
SUP00560,Patterson-Taylor,Panama,5
SUP00561,"Clarke, Rodriguez and Novak",Namibia,14
SUP00562,"Phillips, Rosario and Murray",Poland,51
SUP00563,Woodard-Ward,Saint Kitts and Nevis,14
SUP00564,Martin Ltd,Niue,21
SUP00565,Hayden PLC,Eritrea,4
SUP00566,"Garcia, Fox and Mckenzie",Kuwait,49
SUP00567,Cain Ltd,Brunei Darussalam,50
SUP00568,Gonzalez PLC,Zimbabwe,7
SUP00569,Bishop and Sons,Tanzania,52
SUP00570,Webb-Howard,Lao People's Democratic Republic,47
SUP00571,"Watkins, Cummings and Olson",Kazakhstan,20
SUP00572,Brooks-Lopez,Antarctica (the territory South of 60 deg S),34
SUP00573,Ward-Hall,Angola,23
SUP00574,Marsh Group,Kazakhstan,7
SUP00575,"Taylor, Johnson and Rosario",Micronesia,30
SUP00576,Bullock-Adams,Norfolk Island,6
SUP00577,Miller Group,Antigua and Barbuda,31
SUP00578,Warren-Bishop,Singapore,39
SUP00579,"Johnson, Hubbard and Jenkins",Guadeloupe,31
SUP00580,Reyes-Ramos,Albania,33
SUP00581,Simon Ltd,French Polynesia,16
SUP00582,Raymond Inc,Palau,28
SUP00583,Oconnell Ltd,Vietnam,11
SUP00584,Mason-Tucker,Oman,46
SUP00585,"Alvarez, Cole and Williams",Maldives,20
SUP00586,"Beck, Powell and Walker",Niger,37
SUP00587,Anderson-Davidson,Burundi,6
SUP00588,"Lopez, Thomas and Gutierrez",Kuwait,44
SUP00589,Jackson Ltd,Maldives,6
SUP00590,Richardson PLC,Mozambique,51
SUP00591,"Cross, Moore and Evans",Cote d'Ivoire,34
SUP00592,Diaz-Martin,Saint Helena,55
SUP00593,Adams LLC,Djibouti,45
SUP00594,Hogan-Nelson,Slovakia (Slovak Republic),46
SUP00595,Boyle Ltd,Mauritania,18
SUP00596,Thomas-Rose,El Salvador,25
SUP00597,Meadows and Sons,Mayotte,4
SUP00598,Meyer Group,Cayman Islands,58
SUP00599,"Hinton, Sawyer and White",Bouvet Island (Bouvetoya),45
